stage,match_date,home_code,away_code,home_goals,away_goals
Group Stage,2022-11-20,QAT,ECU,0,2
Group Stage,2022-11-21,SEN,NED,0,2
Group Stage,2022-11-21,ENG,IRN,6,2
Group Stage,2022-11-21,USA,WAL,1,1
Group Stage,2022-11-22,ARG,KSA,1,2
Group Stage,2022-11-22,DEN,TUN,0,0
Group Stage,2022-11-22,MEX,POL,0,0
Group Stage,2022-11-23,FRA,AUS,4,1
Group Stage,2022-11-23,MAR,CRO,0,0
Group Stage,2022-11-23,GER,JPN,1,2
Group Stage,2022-11-23,ESP,CRC,7,0
Group Stage,2022-11-24,BEL,CAN,1,0
Group Stage,2022-11-24,SUI,CMR,1,0
Group Stage,2022-11-24,URU,KOR,0,0
Group Stage,2022-11-24,POR,GHA,3,2
Group Stage,2022-11-24,BRA,SRB,2,0
Group Stage,2022-11-25,WAL,IRN,0,2
Group Stage,2022-11-25,QAT,SEN,1,3
Group Stage,2022-11-25,NED,ECU,1,1
Group Stage,2022-11-26,ENG,USA,0,0
Group Stage,2022-11-26,TUN,AUS,0,1
Group Stage,2022-11-26,POL,KSA,2,0
Group Stage,2022-11-26,FRA,DEN,2,1
Group Stage,2022-11-27,ARG,MEX,2,0
Group Stage,2022-11-27,JPN,CRC,0,1
Group Stage,2022-11-27,BEL,MAR,0,2
Group Stage,2022-11-27,CRO,CAN,4,1
Group Stage,2022-11-28,ESP,GER,1,1
Group Stage,2022-11-28,CMR,SRB,3,3
Group Stage,2022-11-28,KOR,GHA,2,3
Group Stage,2022-11-28,BRA,SUI,1,0
Group Stage,2022-11-28,POR,URU,2,0
Group Stage,2022-11-29,ECU,SEN,1,2
Group Stage,2022-11-29,NED,QAT,2,0
Group Stage,2022-11-29,WAL,ENG,0,3
Group Stage,2022-11-29,IRN,USA,0,1
Group Stage,2022-11-30,AUS,DEN,1,0
Group Stage,2022-11-30,TUN,FRA,1,0
Group Stage,2022-11-30,POL,ARG,0,2
Group Stage,2022-11-30,MEX,KSA,2,1
Group Stage,2022-12-01,CRC,GER,2,4
Group Stage,2022-12-01,JPN,ESP,2,1
Group Stage,2022-12-01,CAN,MAR,1,2
Group Stage,2022-12-01,BEL,CRO,0,0
Group Stage,2022-12-02,CMR,BRA,1,0
Group Stage,2022-12-02,SRB,SUI,2,3
Group Stage,2022-12-02,KOR,POR,2,1
Group Stage,2022-12-02,GHA,URU,0,2
Round of 16,2022-12-03,NED,USA,3,1
Round of 16,2022-12-03,ARG,AUS,2,1
Round of 16,2022-12-04,FRA,POL,3,1
Round of 16,2022-12-04,ENG,SEN,3,0
Round of 16,2022-12-05,JPN,CRO,1,1
Round of 16,2022-12-05,BRA,KOR,4,1
Round of 16,2022-12-06,MAR,ESP,0,0
Round of 16,2022-12-06,POR,SUI,6,1
Quarterfinal,2022-12-09,CRO,BRA,1,1
Quarterfinal,2022-12-09,NED,ARG,2,2
Quarterfinal,2022-12-10,MAR,POR,1,0
Quarterfinal,2022-12-10,ENG,FRA,1,2
Semifinal,2022-12-13,ARG,CRO,3,0
Semifinal,2022-12-14,FRA,MAR,2,0
Third Place,2022-12-17,CRO,MAR,2,1
Final,2022-12-18,ARG,FRA,3,3
